游戏排名,游戏名称,游戏厂商,游戏评分,游戏分类,游戏标签,游戏数据
224,悠长假期 CN,厂商: 锐战科技（上海）有限公司,6.1,休闲,"模拟,休闲,剧情",1171545 人关注
225,天天酷跑,厂商: 腾讯,5,冒险,"跑酷,道具付费,动作",4693 人安装 4490 人关注
226,QQ炫舞手游,厂商: 腾讯,6.2,音乐,"音乐,换装,舞蹈",20306 人安装 20524 人关注
227,迷你喜日式拼图（测试版）,厂商: 迷你喜,6.4,益智,"单机,休闲,益智",152244 人安装 238627 人关注
228,月兔历险记 CN,厂商: 深圳市火星人互动娱乐有限公司,8.6,休闲,"休闲,放置,TapTap独家",306860 人关注
229,无尽灵魂（测试版）,厂商: 只做一款游戏工作室,8.9,角色扮演,"单机,硬核,ARPG",531181 人安装 255366 人关注
230,九州三国志,厂商: 瑞游联动,7.1,策略,策略,849511 人安装 680352 人关注
231,网红奶茶店（测试服）,厂商: 柠檬酱游戏,7.1,模拟,"模拟,TapTap独家,经营",378059 人安装 245521 人关注
232,曙光英雄,厂商: 竞技世界(北京)网络技术有限公司,5.3,动作,"MOBA,PVP,5v5",2393926 人安装 1665547 人关注
233,Cytoid（测试版） CN,厂商: Tiger Tang,8.8,音乐,"DIY,音游,音乐",914951 人安装 751064 人关注
234,海岛奇兵（Boom Beach） CN,厂商: Supercell,7.2,策略,"策略,即时战略,COC",587888 人安装 404290 人关注
235,神都夜行录 CN,厂商: 网易游戏,5.2,角色扮演,"国风,妖怪,MMO",39150 人安装 47768 人关注
236,武林英雄传 CN,厂商: 弘程游戏,7.7,角色扮演,"武侠,策略,放置",1044629 人安装 610544 人关注
237,纪念碑谷,厂商: 深圳市创梦天地科技有限公司,9.9,益智,"益智,几何,唯美",142399 人购买 190046 人关注
238,异化之地,厂商: 雷霆游戏,6.8,动作,"Roguelike,动作,克苏鲁",21799 人安装 47339 人关注
239,密室逃脱绝境系列11游乐园,厂商: 深圳市火星人互动娱乐有限公司,8.7,益智,"密室逃脱,解谜,悬疑",2015181 人安装 1125416 人关注
240,无双萌将,厂商: MiracleStudio,5.7,角色扮演,"国风,挂机,放置",1323064 人安装 217746 人关注
241,天天打波利,厂商: 心动网络,8.3,休闲,"放置,挂机,竖版",68591 人安装 115396 人关注
242,轩辕剑叁外传天之痕 CN,厂商: SOFTSTAR ENTERTAINMENT,8.7,角色扮演,"仙侠,单机,回合制",463679 人安装 642482 人关注
243,追妖记,厂商: 掌上游工作室,7.1,角色扮演,"策略,修仙,挂机",999229 人安装 549091 人关注
244,边境之旅 CN,厂商: 网易游戏,6.8,角色扮演,"生存,经营模拟,冒险",243070 人关注
245,仙道逃亡,厂商: 深圳市瞻宇软件技术有限公司,7.3,角色扮演,"仙侠,放置,修仙",260025 人安装 549942 人关注
246,剑网3指尖对弈,厂商: 西山居游戏,6.4,休闲,"自走棋,休闲,策略",1750643 人安装 1127805 人关注
247,元素地牢 CN,厂商: 极光计划,5.2,休闲,"联机,像素,Roguelike",376001 人安装 502242 人关注
248,食之契约,厂商: 食之契约制作委员会,7.6,卡牌,"二次元,养成,收集",493698 人安装 714743 人关注
249,文豪迷犬怪奇谭（测试服）,厂商: Boltrend,8.8,角色扮演,"ACG,日漫,卡牌",1051850 人安装 760895 人关注
250,最终幻想：勇气启示录 CN,厂商: 西山居世游,5.9,角色扮演,"像素,回合制,角色扮演",424427 人安装 517205 人关注
251,全民数独,厂商: 绵阳智如科技有限责任公司,8.5,益智,"益智,烧脑,单机",48049 人安装 33636 人关注
252,新笑傲江湖 CN,厂商: 完美世界,4.5,角色扮演,"武侠,角色扮演,MMO",1474844 人安装 955721 人关注
253,先锋英雄：造物法则2 CN,厂商: 广州天梯网络科技有限公司,6.4,角色扮演,"RPG,收集,二次元",1620090 人关注
254,旅行串串,厂商: Kunpo,9.5,休闲,"放置,经营,美食",266596 人安装 152756 人关注
255,遇见逆水寒 CN,厂商: 网易游戏,6.8,角色扮演,"恋爱,养成,乙女",27583 人购买 110179 人关注
256,魔天记,厂商: 方寸,4.5,角色扮演,"修仙,角色扮演,RPG",210686 人关注
257,流星群侠传 CN,厂商: 网易游戏,5.9,动作,"武侠,联机,动作",25170 人关注
258,众生游,厂商: 边境工作室,8.7,模拟,"真实模拟,养成,高自由度",514785 人安装 286799 人关注
259,萝莉养成计划 CN,厂商: 南京月冕网络科技有限公司,6.1,角色扮演,"二次元,ACG,收集",720943 人关注
260,妙连千军,厂商: 套鹿工作室,7.4,策略,"竖屏,消除,Roguelike",235604 人关注
261,模拟帝国（测试版） CN,厂商: TKG,6.8,策略,"模拟,策略,战争",131225 人关注
262,功夫奇遇记（测试版）,厂商: Ohayoo,7.2,冒险,"Roguelike,独立游戏,动作",122793 人安装 248770 人关注
263,仙侠第一放置·网络版,厂商: 撸娃工作室,8.3,角色扮演,"放置,修仙,挂机",101410 人安装 74153 人关注
264,人生模拟器：中国式人生（测试版）,厂商: kiwigames,4.5,模拟,"模拟,养成,文字",206951 人安装 314866 人关注
265,传说之旅（测试版）,厂商: 地心引力工作室,8.4,动作,"像素,Roguelike,单机",510126 人安装 993906 人关注
266,不一样传说（测试版）,厂商: 芥菜子游戏,7.6,冒险,"角色扮演,竖屏,单机",554492 人安装 463347 人关注
267,飞跃星球,厂商: 重庆星漫科技有限公司,4.5,模拟,"宇宙,文字游戏,TapTap独家",2164199 人安装 1526477 人关注
268,三国志吕布传,厂商: 纵横工作室,9,策略,"单机,策略,战棋",1362672 人关注
269,圣斗士星矢（腾讯） CN,厂商: 腾讯,6.2,角色扮演,"回合制,圣斗士,卡牌",668465 人安装 475499 人关注
270,凹凸世界 CN,厂商: 七创社,6.2,角色扮演,"漫改,ACG,养成",17537 人安装 11939 人关注
271,永不言弃！！,厂商: 东品游戏,7.1,音乐,"虐心,手残,节奏",1946148 人安装 1135301 人关注
272,战争艺术 CN,厂商: 朝夕光年,6.7,策略,"高画质,Steam移植,战争",729682 人安装 571587 人关注
273,像素射击 - Cops N Robbers（测试版）,厂商: 巨量引擎,7.1,动作,"像素,枪战,联机",2983742 人安装 1431571 人关注
274,大航海探险物语,厂商: 识君,8,模拟,"开罗,像素,联网",855290 人安装 477334 人关注
275,一代掌门（测试服）,厂商: 感触网络,6.8,模拟,"经营,模拟,策略",643789 人安装 402987 人关注
276,物种起源,厂商: 起源工作室,8.8,策略,"放置,科幻,挂机",2382096 人关注
277,云裳羽衣 CN,厂商: 腾讯,7.2,角色扮演,"捏脸,换装,3D",510792 人安装 381616 人关注
278,同步音律,厂商: 廊坊同步音律信息科技有限公司,9.3,音乐,"洛天依,音游,二次元",199217 人安装 144364 人关注
279,航海王：燃烧意志,厂商: 爱九游信息技术有限公司,5.1,角色扮演,"动漫,ACG,回合制",233499 人关注
280,口袋学院物语2,厂商: 识君,9.2,模拟,"单机,开罗,像素",2288010 人安装 2398310 人关注
281,我功夫特牛（测试版） CN,厂商: Ohayoo,6.8,动作,"Roguelike,火柴人,休闲",1902 人关注
282,螺旋圆舞曲,厂商: 广州天梯网络科技有限公司,6.6,角色扮演,"换装,女性向,养成",213896 人安装 585923 人关注
283,女神星球,厂商: 银月网络,7.4,角色扮演,"养成,挂机,放置",1094746 人安装 1899604 人关注
284,字走三国（测试版） CN,厂商: 零图游戏,9.1,桌面和棋类,"单机,三国,文字",638270 人安装 481113 人关注
285,节奏大师,厂商: 腾讯,8.1,休闲,"音乐,音游,节奏",486504 人安装 1552530 人关注
286,末剑二（测试服）,厂商: 极光计划,9.6,冒险,"国风,武侠,单机",21553 人安装 27618 人关注
287,战歌竞技场 CN,厂商: 腾讯,5.1,策略,"自走棋,对战,竞技",136911 人安装 50596 人关注
288,地铁跑酷,厂商: 深圳市创梦天地科技有限公司,6.3,冒险,"跑酷,单机,免费",146302 人安装 499544 人关注
289,邮差骑士 CN,厂商: 嘉丰永道（北京）科技股份有限公司,7.4,角色扮演,"单机,竖屏,角色扮演",470846 人安装 424635 人关注
290,一人之下,厂商: 腾讯,4.3,动作,"动作,国漫,格斗",496532 人安装 384768 人关注
291,精灵究极进化 CN,厂商: 海南一五一十网络科技有限公司,3.4,角色扮演,"角色扮演,MMO,像素",499890 人安装 100112 人关注
292,奥特曼系列OL,厂商: METEK,6.3,角色扮演,"内购,回合制",2036289 人安装 1185014 人关注
293,英雄杀,厂商: 腾讯,2.8,卡牌,"桌面和棋类,策略",135458 人关注
294,启源女神 CN,厂商: 启源计划工作室,6.4,卡牌,"卡牌,养成,回合制",234259 人安装 306340 人关注
295,航海日记,厂商: 北京乐动卓越科技有限公司,8.9,冒险,"模拟,航海,经营",427961 人安装 443245 人关注
296,断刀客（测试版）,厂商: 群黑游戏,7.4,文字,"武侠,修仙,MUD",664718 人安装 564895 人关注
297,遇见,厂商: 亘游个人工作室,7.9,角色扮演,"开放世界,角色扮演,冒险",141661 人安装 308315 人关注
298,我的奶茶屋（测试版）,厂商: 睿鱼工作室,8.3,模拟,"经营,休闲,可爱",2958972 人安装 1812247 人关注
299,闪烁之光 CN,厂商: 诗悦网络,4.8,角色扮演,"放置,二次元,卡牌",1329809 人安装 1913039 人关注
300,方舟指令 CN,厂商: 哔哩哔哩游戏,7.3,卡牌,"二次元,养成,卡牌养成",232192 人安装 172106 人关注
