游戏排名,游戏名称,游戏厂商,游戏评分,游戏分类,游戏标签,游戏数据
108,魂器学院 CN,厂商: 傲娇工作室,8.1,休闲,"竖屏,收集,放置",104995 人关注
109,华夏人生（测试版）,厂商: 快乐无法挡,8.5,模拟,"模拟,沙盒,联机",850406 人安装 460544 人关注
110,牧羊人之心 CN,厂商: 第一弹游戏,8.4,休闲,"养成,竖屏,魔物娘",1324864 人安装 481428 人关注
111,黑暗料理王,厂商: 椰岛游戏,9.3,模拟,"经营,模拟,放置",792161 人关注
112,梦幻西游 CN,厂商: 网易游戏,7.4,角色扮演,"回合制,MMORPG,角色扮演",4773078 人安装 2040402 人关注
113,负之遗产（测试版）,厂商: 扑家工作室,7.3,角色扮演,"挂机,单机,像素",4353 人安装 86586 人关注
114,道友请留步 CN,厂商: 极致游戏,6.4,卡牌,"卡牌,回合,策略",3900713 人安装 1922732 人关注
115,实况足球 CN,厂商: 网易游戏,5.3,体育,"足球,体育,模拟",142211 人关注
116,狼人杀 CN,厂商: 网易游戏,6.6,休闲,"多人,狼人杀,益智",1741734 人安装 625970 人关注
117,非人学园 CN,厂商: 网易游戏,7.0,角色扮演,"MOBA,联机,二次元",1360094 人安装 595207 人关注
118,荣耀大天使,厂商: 尚趣玩游戏,5.3,角色扮演,"冒险,MMORPG,角色扮演",469445 人安装 727590 人关注
119,比特小队,厂商: Kunpo,9.3,冒险,"地牢,Roguelike,联网",1594899 人安装 2309913 人关注
120,小小法师（测试版）,厂商: Never Late Studio,8.6,休闲,"Roguelike,单机,竖屏",1833576 人购买 3097705 人关注
121,战舰少女R,厂商: 幻萌网络,9.5,角色扮演,"养成,收集,舰娘",2982680 人安装 1273179 人关注
122,崩坏学园2,厂商: miHoYo,7.9,动作,"二次元,横版,美少女",450034 人安装 346247 人关注
123,高能手办团,厂商: 盛和游戏,5.2,卡牌,"放置,二次元,联机",582319 人安装 693338 人关注
124,龙族幻想 CN,厂商: 腾讯,4.5,角色扮演,"高画质,MMORPG,开放世界",1684975 人安装 824224 人关注
125,艾希,厂商: 心动网络,9.8,动作,"Steam移植,单机,动作",444632 人安装 468622 人关注
126,战舰联盟,厂商: 祖龙娱乐,8.9,动作,"高画质,战舰,海战",248757 人安装 528503 人关注
127,梦幻模拟战 CN,厂商: 紫龙游戏,6.7,角色扮演,"战棋,日系游戏,SRPG",221625 人关注
128,火影忍者：忍者新世代,厂商: 腾讯,5.4,卡牌,"卡牌,回合制,策略",321267 人安装 310712 人关注
129,皇帝成长计划2 CN,厂商: 四三九九网络股份有限公司,7.8,策略,"养成,模拟,角色扮演",877673 人安装 494352 人关注
130,映月城与电子姬,厂商: 幻刃网络,7.2,休闲,"休闲,二次元,射击",430051 人安装 537313 人关注
131,掌门太忙,厂商: 北京华清飞扬网络股份有限公司,7.1,角色扮演,"乙女,女性向,剧情",341107 人安装 458256 人关注
132,开局一把剑（测试版）,厂商: 做个好游戏工作室,8.9,策略,"地牢,卡牌,单机",3888519 人安装 1930431 人关注
133,萌趣医院,厂商: 小斗篷游戏,7.7,模拟,"养成,医院,经营",2364302 人安装 1508376 人关注
134,濡沫江湖,厂商: 北京络汀科技有限公司,7.8,文字,"武侠,角色扮演,单机",1552608 人安装 870791 人关注
135,侍魂-胧月传说 CN,厂商: 腾讯,5.2,动作,"横版,动作,ARPG",664734 人安装 564904 人关注
136,旅行青蛙：中国之旅 CN,厂商: 广州灵犀互动娱乐有限公司,6.6,休闲,"宠物,治愈,放置",141665 人安装 308312 人关注
137,辐射 避难所 CN,厂商: 盛趣游戏,8.1,模拟,"生存,经营,单机",2959071 人安装 1812319 人关注
138,贪婪洞窟2 CN,厂商: 雷霆游戏,6.5,角色扮演,"RPG,Roguelike,地牢",1329843 人安装 1913070 人关注
139,恋与制作人 CN,厂商: 叠纸游戏,6.2,角色扮演,"恋爱,养成,乙女",232220 人安装 172118 人关注
140,三国杀OL(互通版),厂商: 杭州游卡网络技术有限公司,5.0,卡牌,"卡牌,三国,桌面和棋类",144196 人关注
141,灰烬战线 CN,厂商: 哔哩哔哩游戏,6.1,策略,"二次元,美少女,角色扮演",989834 人安装 1070279 人关注
142,阿瑞斯病毒 CN,厂商: 青瓷,8.1,角色扮演,"生存,末日,单机",661536 人安装 1177646 人关注
143,跑跑卡丁车官方竞速版 CN,厂商: 上海邮通科技有限公司,6.4,竞速,"飙车,竞速,童年",2838125 人安装 1441554 人关注
144,多多自走棋 CN,厂商: 龙渊网络,5.9,策略,"联机,自走棋,策略",104055 人安装 135716 人关注
145,打BOSS（测试版）,厂商: 一起玩工作室,7.8,角色扮演,"点击,放置,挂机",1131723 人安装 725320 人关注
