游戏排名,游戏名称,游戏厂商,游戏评分,游戏分类,游戏标签,游戏数据
275,出发吧冒险家,厂商: 海上游戏师,8.5,冒险,"Roguelike,冒险,竖屏",764118 人安装 348194 人关注
276,幻兽爱合成,厂商: 西安乐推网络科技有限公司,5.5,休闲,"合成,消除,收集",159022 人安装 291961 人关注
277,最强NBA,厂商: 腾讯,4.7,体育,"NBA,体育,篮球",944486 人关注
278,赛尔号,厂商: 上海淘米网络科技有限公司,5.0,角色扮演,"精灵,养成,回合",1043977 人安装 989801 人关注
279,闹闹天宫,厂商: 极光计划,7.1,动作,"国风,多人,io",659707 人安装 1015055 人关注
280,敢达 争锋对决 CN,厂商: 上海恺英网络科技有限公司,3.7,动作,"格斗,机战,高达",923526 人关注
281,腾讯围棋（野狐）,厂商: 腾讯,7.1,知识问答,"益智,策略,围棋",777336 人安装 542188 人关注
282,我是谜（测试版）,厂商: 吾声游戏,7.3,角色扮演,"解谜,推理,文字",1578617 人关注
283,风云岛行动 CN,厂商: 网易游戏,5.4,角色扮演,"生存,竞技,多人联机",4353797 人安装 2406972 人关注
284,从零开始的异世界生活-INFINITY CN,厂商: 成都天象互动网络游戏有限公司,6.5,角色扮演,"二次元,养成,卡牌",127111 人关注
285,植物大战僵尸,厂商: 艺电 EA,8.2,策略,"僵尸,塔防,经典",207227 人关注
286,密室逃脱绝境系列8酒店惊魂 CN,厂商: 深圳市火星人互动娱乐有限公司,8.5,益智,"单机,解谜,悬疑",423393 人安装 195057 人关注
287,狼人杀,厂商: 娱公竞宇,5.3,休闲,"狼人杀,多人,桌游",296474 人安装 587569 人关注
288,刃心,厂商: 黑脉游戏,8.8,动作,"单机,动作,手速",1078713 人安装 679773 人关注
289,勇士挂机（测试版）,厂商: 文轩网络,8.5,角色扮演,"挂机,放置,幻想",340951 人安装 276999 人关注
290,像素男友（测试版）,厂商: 扑家工作室,9.6,文字,"像素,恋爱,文字",40701 人安装 198596 人关注
291,二战风云2,厂商: 顽石乐创,6.3,策略,"战争,即时战略,军事",96906 人安装 144929 人关注
292,FIFA足球世界,厂商: 腾讯,3.0,模拟,"足球,体育,模拟",196663 人关注
293,王牌战争：文明重启,厂商: 炎龙工作室,3.1,冒险,"生存,开放世界,沙盒",417065 人安装 439616 人关注
294,艾丽莎的国度,厂商: TBG Limited,8.7,模拟,"放置,竖屏,单机",290176 人安装 146546 人关注
295,乱世王者,厂商: 腾讯,3.8,策略,"SLG,战争,策略",152726 人安装 92153 人关注
296,荣誉指挥官,厂商: 雷霆游戏,6.2,策略,"竞技,策略,RTS",1652384 人安装 921563 人关注
297,深渊魔塔（测试版）,厂商: IONGame,8.6,卡牌,"Roguelike,卡牌,单机",967312 人关注
298,保卫萝卜1,厂商: 飞鱼科技,7.4,休闲,"策略,塔防,经典",395648 人安装 372021 人关注
299,梦想城镇 (Township),厂商: 触控游戏,6.4,休闲,"经营,养成,建设",2887416 人安装 1524518 人关注
300,梦幻家园 CN,厂商: 深圳市创梦天地科技有限公司,7.1,益智,"装扮,消除,家装",4552724 人安装 2514258 人关注
