游戏排名,游戏名称,游戏厂商,游戏评分,游戏分类,游戏标签,游戏数据
71,同步音律,厂商: 廊坊同步音律信息科技有限公司,9.3,音乐,"洛天依,音游,二次元",33996 人关注
72,行侠放置（测试版）,厂商: Sicuing,8.5,角色扮演,"文字,角色扮演,放置挂机",135423 人关注
73,万象物语,厂商: 龙渊网络,8.5,角色扮演,"养成,角色扮演,RPG",1051927 人安装 760948 人关注
74,我选技闯关（测试版）,厂商: 一起玩工作室,8.0,策略,休闲,30747246 人安装 34842627 人关注
75,崩坏3,厂商: miHoYo,6.8,动作,"动作,二次元,高画质",3006477 人安装 1519526 人关注
76,末日幸存者（测试服）,厂商: 幸存者互助协会,6.3,角色扮演,"生存,联机,末日",105015 人关注
77,十三号病院（测试版）,厂商: HeartBeat Plus,8.5,益智,"恐怖,解谜,悬疑",111262 人安装 78885 人关注
78,旅行串串,厂商: Kunpo,9.5,休闲,"放置,经营,美食",10263049 人安装 5021151 人关注
79,和平精英,厂商: 腾讯,6.9,动作,"多人联机,射击,第一人称射击",882 人关注
80,召唤与合成,厂商: 召合网络,9.7,益智,"卡牌,三消,策略",29465 人关注
81,负之遗产（测试版）,厂商: 扑家工作室,7.3,角色扮演,"挂机,单机,像素",2683978 人安装 1405754 人关注
82,旧日传说（测试服预下载）,厂商: 完美世界,6.8,角色扮演,"Roguelike,克苏鲁,回合制",3995300 人安装 5287150 人关注
83,炉石传说,"厂商: Blizzard Entertainment, Inc.",7.2,策略,"CCG,暴雪,策略",6886284 人安装 3035873 人关注
84,以数织图Nonogram（测试版）,厂商: 联欢游戏,7.4,益智,"休闲,烧脑,益智",2106261 人安装 1181069 人关注
85,狂野进化（测试版）,厂商: 4th独立营：不义联盟,5.7,休闲,"单机,反应,休闲",1833595 人购买 3097761 人关注
86,活下去,厂商: 黑骑士工作室,9.0,冒险,"生存,丧尸,单机",110204 人关注
87,火影忍者,厂商: 腾讯,7.0,动作,"格斗,动作,ACG",6956059 人安装 3439935 人关注
88,决战！平安京,厂商: 网易游戏,6.5,角色扮演,"MOBA,联机,多人",1968800 人安装 1252443 人关注
89,DEEMO（古树旋律）,厂商: 龙渊网络,9.4,音乐,"音游,治愈,音乐",2250798 人安装 1433257 人关注
90,艾希,厂商: 心动网络,9.8,动作,"Steam移植,单机,动作",538735 人购买 803141 人关注
91,猫咪饲养日常（测试版）,厂商: 识君,8.0,休闲,"宠物,休闲,养成",1709861 人安装 868264 人关注
92,失落城堡,厂商: 雷霆游戏,8.7,动作,"联机,Steam移植,Roguelike",2349386 人安装 1231744 人关注
93,伊洛纳 (elona),厂商: 雷霆游戏,7.1,角色扮演,"角色扮演,开放世界,像素",458964 人关注
94,流言侦探,厂商: WoodenWolf,9.1,文字,"推理,悬疑,文字",221637 人关注
95,汉末霸业,厂商: 成都龙游天下,8.5,策略,"付费,三国,单机",142228 人关注
96,模拟城市：我是市长,厂商: 北京北纬通信科技股份有限公司,5.9,休闲,"经营,模拟,城市建造",355087 人关注
97,聚爆,厂商: 龙渊网络,8.4,角色扮演,"动作,画质游戏,大型",68575 人关注
98,网吧模拟器（测试版）,厂商: 成都品游科技有限公司,3.7,角色扮演,"挂机,休闲,竖屏",601213 人安装 3827072 人关注
99,开局一把剑（测试版）,厂商: 做个好游戏工作室,8.9,策略,"地牢,卡牌,单机",127018 人关注
100,小小法师（测试版）,厂商: Never Late Studio,8.6,休闲,"Roguelike,单机,竖屏",238501 人关注
101,邂逅在迷宫（测试服）,厂商: 奥熠游戏,8.1,角色扮演,"挂机,二次元,放置",4183921 人安装 3934045 人关注
102,夏日杂货店（测试版）,厂商: 142857号玩家,8.8,模拟,"宠物,猫,放置",6641954 人安装 10221797 人关注
103,开心消消乐,厂商: 乐元素科技(北京)股份有限公司,8.6,休闲,"益智,消除,消消乐",2889252 人安装 2026634 人关注
104,数独星空（测试版）,厂商: 何止游戏,7.7,益智,"益智,数独,竖屏",230282 人购买 234696 人关注
105,四季之春（测试版）,厂商: Mz Studio,9.5,模拟,"手绘,传统文化,清新",1623115 人关注
106,球球大作战,厂商: Superpop Inc.,6.1,动作,"多人,联机,io",55336 人关注
107,QQ飞车,厂商: 腾讯,7.0,竞速,"竞速,漂移,飙车",40001 人关注
108,纪念碑谷2,厂商: 极光计划,9.0,冒险,"策略,烧脑,解谜",1004866 人安装 653507 人关注
109,按钮之谜,厂商: Guoboism,9.1,益智,"付费,极简,单机",171332 人安装 151879 人关注
110,信任的进化-合作自私的基因（测试版）,厂商: 火树游戏,9.7,益智,"哲理,文字,益智",207246 人关注
111,猫咪养成：云撸猫（测试版）,厂商: 豆豆游戏,8.7,休闲,"宠物,猫,经营",751864 人关注
112,好久不见，再见（测试版）,厂商: 1001 Studio,9.8,文字,"剧情,TapTap独家,文字",387910 人安装 544462 人关注
113,诸神皇冠,厂商: 微主流,8.1,策略,"单机,SRPG,战棋",1094856 人安装 1899806 人关注
114,球球英雄,厂商: 霍尔果斯游众网络,6.0,策略,"塔防,竞技,竖屏",1513887 人安装 787752 人关注
115,像素男友（测试版）,厂商: 扑家工作室,9.6,文字,"像素,恋爱,文字",643824 人安装 403021 人关注
116,我想成为创造者（测试版）,厂商: AikesiGame,9.7,动作,"平台跳跃,横版,自制关卡",9397661 人安装 4717102 人关注
117,万国觉醒,厂商: 莉莉丝游戏,3.7,策略,"策略,SLG,联机",2288185 人安装 2398462 人关注
118,地铁跑酷,厂商: 深圳市创梦天地科技有限公司,6.3,冒险,"跑酷,单机,免费",2723166 人安装 1646293 人关注
119,古代战争：放置救世主,厂商: 猫步游戏,9.2,角色扮演,"竖屏,放置,挂机",2430271 人安装 1757906 人关注
120,口袋学院物语2,厂商: 识君,9.2,模拟,"单机,开罗,像素",55713 人关注
121,明日之后,厂商: 网易游戏,4.1,角色扮演,"生存,多人联机,末日",1629585 人安装 1537330 人关注
122,节奏大师,厂商: 腾讯,8.1,休闲,"音乐,音游,节奏",142176 人关注
123,荒野乱斗,厂商: Supercell,4.4,动作,"休闲竞技,多人,动作",167953 人关注
124,碧蓝航线,厂商: 哔哩哔哩游戏,8.6,策略,"二次元,美少女,养成",3411806 人安装 1689258 人关注
125,速读:Number（测试版）,厂商: 暮光游戏,9.0,益智,"休闲,单机,益智",7629 人安装 10194 人关注
126,剑与远征,厂商: 莉莉丝游戏,6.1,卡牌,"竖屏,放置,挂机",677435 人关注
127,宝箱与勇士（测试版）,厂商: Ohayoo,7.8,角色扮演,"角色扮演,策略,RPG",13881 人关注
128,绮世裁缝铺（测试版）,厂商: 斑豆科技,6.3,模拟,"换装,竖屏,TapTap独家",948336 人安装 1119065 人关注
129,永远的7日之都,厂商: 网易游戏,8.1,角色扮演,"二次元,美少女,养成",183073 人安装 152764 人关注
130,荒岛求生,厂商: 蜂鸟互动,6.0,策略,"模拟,生存,策略",7295234 人安装 4402325 人关注
131,落樱小屋（测试版）,厂商: 优路游戏,8.7,休闲,"恋爱,模拟,女性向",104070 人安装 135724 人关注
132,买怪打装备（测试版）,厂商: 竹节猫工作室,5.9,文字,"文字,放置,单机",615174 人安装 477121 人关注
133,奥拉星,厂商: 广州天梯网络科技有限公司,6.0,冒险,"养成,宠物,精灵",3478397 人安装 2201945 人关注
134,汉末霸业（内购版）,厂商: 成都龙游天下,8.2,策略,"单机,TapTap独家,三国",350984 人安装 349811 人关注
135,第五人格,厂商: 网易游戏,7.3,角色扮演,"逃生,联机,多人",2479945 人安装 1255464 人关注
136,重建家园,厂商: 幸存者小分队,6.4,文字,"生存,文字,竖屏",550201 人安装 1127045 人关注
137,三国志幻想大陆,厂商: 广州灵犀互动娱乐有限公司,5.8,卡牌,"卡牌,三国,养成",444657 人安装 468623 人关注
138,命运-冠位指定（Fate/Grand Order）,厂商: 哔哩哔哩游戏,7.6,角色扮演,"二次元,卡牌养成,卡牌",1620106 人关注
139,三国志·战略版,厂商: 广州简悦科技,6.3,策略,"策略,SLG,三国",914985 人安装 751080 人关注
140,奇葩战斗家,厂商: 雷霆游戏,8.6,动作,"联机,多人对战,io",1950671 人安装 1994303 人关注
141,解神者：X2,厂商: SIVA游戏制作委员会,5.6,角色扮演,"ARPG,ACG,二次元",2036333 人安装 1185036 人关注
142,映月城与电子姬,厂商: 幻刃网络,7.2,休闲,"休闲,二次元,射击",38193 人关注
143,众生游,厂商: 边境工作室,8.7,模拟,"真实模拟,养成,高自由度",438482 人安装 334654 人关注
144,异化之地,厂商: 雷霆游戏,6.8,动作,"Roguelike,动作,克苏鲁",572179 人安装 842062 人关注
145,最强蜗牛,厂商: 青瓷,4.4,角色扮演,"冒险,竖屏,放置",128803 人关注
146,遇见,厂商: 亘游个人工作室,7.9,角色扮演,"开放世界,角色扮演,冒险",145558 人安装 726628 人关注
147,我要上厕所（测试版）,厂商: 深圳市必凡娱乐科技有限公司,6.2,模拟,"经营,挂机,模拟",22138 人安装 303085 人关注
148,月兔历险记,厂商: 深圳市火星人互动娱乐有限公司,8.6,休闲,"休闲,放置,TapTap独家",157489 人安装 1497642 人关注
149,我的侠客,厂商: 极光计划,6.7,角色扮演,"武侠,高自由度,开放世界",22121 人关注
150,中华美食家（测试版）,厂商: 殷智,9.2,模拟,"模拟,经营,美食",1442930 人购买 9042271 人关注
